SarcomereLength,ActiveForce
2.22573,0.801850
2.27892,0.795831
2.20922,0.838271
2.21705,0.921276
2.36018,0.927494
2.37666,0.897146
2.41759,0.891114
2.46673,0.874969
2.53635,0.852773
2.49922,0.931683
2.49499,0.966092
2.53574,1.00055
2.56028,1.00057
2.60936,1.00062
2.62980,1.00267
2.65434,1.00269
2.69115,1.00273
2.68312,0.968307
2.75660,1.00077
2.77705,1.00079
2.97749,0.992896
3.05109,0.999044
2.98981,0.980763
2.93269,0.948316
2.93269,0.948316
2.95730,0.930122
2.95331,0.905827
2.99010,0.911937
2.99831,0.903848
3.05153,0.891756
3.05156,0.885683
3.05963,0.912007
3.11686,0.918138
3.03945,0.845185
3.11709,0.861458
3.37048,0.908273
3.39539,0.819229
3.30972,0.764486
3.32204,0.752352
3.22833,0.667237
3.31820,0.693644
3.44884,0.750456
3.55909,0.795103
3.35929,0.647126
3.46969,0.653311
3.49847,0.616902
3.51890,0.622996
3.67835,0.637327
3.89119,0.597057
3.76879,0.526082
3.65855,0.479411
3.87157,0.396630
3.87157,0.396630
3.98991,0.461528
3.95760,0.362304
3.88008,0.317691
